id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
37994,SWOC,small_airport,Fazenda São Bento do Bocajá Airport,-22.025278091430664,-57.364723205566406,443,SA,BR,BR-MS,Caracol,no,,,SWOC,,,,
37995,SWOE,small_airport,Fazenda Duas Lagoas Airport,-16.165826,-58.185139,688,SA,BR,BR-MT,Cáceres,no,,,SSDU,MT0286,,,SWOE
570,SWOG,small_airport,Fazenda Itaipu Airport,-13.7525,-56.96111,1470,SA,BR,BR-MT,São José Do Rio Claro,no,,,SWOG,SWOG,,,
37999,SWOK,small_airport,Fazenda Pontal Airport,-17.30555534362793,-53.93555450439453,2164,SA,BR,BR-MT,Itiquira,no,,,SWOK,,,,
38000,SWOL,small_airport,Fazenda Roncador Airport,-15.096111297607422,-52.400001525878906,1351,SA,BR,BR-MT,Barra Do Garças,no,,,SWOL,,,,
38002,SWON,small_airport,Clube de Aviação Céu Azul Airport,-26.561531,-48.696048,16,SA,BR,BR-SC,Araquari,no,,,SWON,SC0041,,,
38004,SWOP,small_airport,Fazenda Embú Airport,-9.785799,-57.621937,866,SA,BR,BR-MT,Nova Monte Verde,no,,,SI2E,MT0821,,,"SWOP, Fazenda Agropecuária Embu"
38006,SWOR,small_airport,Fazenda Colorado Airport,-15.453497,-51.224849,919,SA,BR,BR-GO,Britânia,no,,,SWOR,GO0140,,,
38008,SWOT,small_airport,Fazenda Planorte Airport,-13.943333,-58.895278,2106,SA,BR,BR-MT,Sapezal,no,,,SWOT,MT0375,,,
38009,SWOU,heliport,Rede Globo 2 Heliport,-23.615097,-46.698267,2575,SA,BR,BR-SP,São Paulo,no,,,SWOU,SP0822,,,
38011,SWOW,small_airport,Moura Airport,-1.463542,-61.633088,190,SA,BR,BR-AM,Moura,no,,,SWOW,AM9003,,,
38014,SWOZ,small_airport,Fazenda Santo Antônio Airport,-15.304751,-54.900644,2146,SA,BR,BR-MT,Campo Verde,no,,,SWOZ,MT0376,,,
38016,SWPB,small_airport,Forte Príncipe da Beira Airport,-12.420665,-64.418603,591,SA,BR,BR-RO,Costa Marques,no,,,SWPB,RO9001,,,
38017,SWPC,small_airport,Parí Cachoeira Airport,0.265565,-69.79404,377,SA,BR,BR-AM,São Gabriel da Cachoeira,no,,,SWPC,AM0051,,,
38018,SWPD,small_airport,Pouso da Águia Airport,2.787444,-60.595531,282,SA,BR,BR-RR,Cantá,no,,,SWPD,RR0111,,,
38019,SWPE,small_airport,Fazenda Lagoa da Mata Airport,-10.133185,-55.585796,866,SA,BR,BR-MT,Carlinda,no,,,SWPE,MT0378,,,
505915,SWPF,small_airport,Fazenda Primavera Airport,-13.45975,-61.234277,551,SA,BR,BR-RO,Pimenteiras do Oeste,no,,,SWPF,RO0032,,,
38021,SWPH,small_airport,Fazenda Paulo Abreu Airport,-15.226674,-52.12875,991,SA,BR,BR-MT,Barra do Garças,no,,,SWPH,MT0379,,,
571,SWPI,small_airport,Parintins Airport,-2.673521,-56.777625,87,SA,BR,BR-AM,Parintins,no,SWPI,PIN,SWPI,AM0006,,https://en.wikipedia.org/wiki/Parintins_Airport,
38023,SWPK,small_airport,Poconé Airport,-16.272778,-56.650833,591,SA,BR,BR-MT,Poconé,no,,,SWPK,,,https://pt.wikipedia.org/wiki/Aeroporto_de_Pocon%C3%A9,
38024,SWPL,small_airport,Posto Leonardo Vilas Boas Airport,-12.198332786560059,-53.38166809082031,1083,SA,BR,BR-MT,Chapada Dos Guimarães,no,,,SWPL,,,,
572,SWPM,small_airport,Pimenta Bueno Airport,-11.6416,-61.1791,682,SA,BR,BR-RO,Pimenta Bueno,no,SWPM,PBQ,SWPM,RO0009,,https://pt.wikipedia.org/wiki/Aeroporto_de_Pimenta_Bueno,SNNB
38027,SWPP,small_airport,Fazenda Pica-Pau Airport,-14.753055572509766,-50.665000915527344,1001,SA,BR,BR-GO,Mozarlândia,no,,,SWPP,,,,
38028,SWPQ,small_airport,Fazenda Piraguassu Airport,-10.85935,-51.688152,643,SA,BR,BR-MT,Porto Alegre do Norte,no,SWPQ,PBX,SWPQ,MT0380,,,
573,SWPR,small_airport,Pires do Rio Airport,-17.319099,-48.334801,2428,SA,BR,BR-GO,Pires Do Rio,no,,,SWPR,SWPR,,https://pt.wikipedia.org/wiki/Aeroporto_de_Pires_do_Rio,
505438,SWPU,heliport,Portal dos Lagos Heliport,-23.278577,-47.716232,1844,SA,BR,BR-SP,Boituva,no,,,SWPU,SP0823,,,
346098,SWPX,small_airport,Belterra Airport,-2.672198,-54.95151,574,SA,BR,BR-PA,Belterra,no,,,SWPX,PA0168,,,
38033,SWPY,small_airport,Primavera do Leste Airport,-15.565556,-54.337776,2149,SA,BR,BR-MT,Primavera Do Leste,no,,,SWPY,,,https://en.wikipedia.org/wiki/Primavera_do_Leste_Airport,
574,SWPZ,small_airport,Oriçanga de Abreu Airport,-14.1181,-46.345402,2759,SA,BR,BR-GO,Posse,no,,,SWPZ,GO0010,,https://pt.wikipedia.org/wiki/Aeroporto_de_Posse,
526143,SWQA,heliport,Bonini Heliport,-22.732432,-45.559731,5600,SA,BR,BR-SP,Campos do Jordão,no,,,SWQA,SP0824,,,
44445,SWQB,heliport,Hahn Heliport,-22.9772224426,-46.3916664124,2838,SA,BR,BR-SP,Piracaia,no,,,SWQB,,,,
323923,SWQC,small_airport,Fazenda São Francisco Airport,-17.500746,-51.597187,3123,SA,BR,BR-GO,Rio Verde,no,,,SWQC,SWQC,,,
38034,SWQE,small_airport,Querari Airport,1.08777,-69.838048,545,SA,BR,BR-AM,São Gabriel da Cachoeira,no,,,SWQE,AM0052,,,
323921,SWQF,heliport,Miguel Dias III Heliport,-4.238269,-38.981362,3051,SA,BR,BR-CE,Guaramiranga,no,,,SWQF,SWQF,,,
43315,SWQG,small_airport,Fazenda Sossego Airport,-21.45722198486328,-55.421112060546875,1706,SA,BR,BR-MS,Maracaju,no,,,SWQG,SWQG,,,
38035,SWQH,small_airport,Agropecuária Nova Santana Airport,-10.147221565246582,-60.538612365722656,797,SA,BR,BR-MT,Aripuanã,no,,,SWQH,,,,
38036,SWQI,small_airport,Caracaraí Airport,1.84389,-61.121827,184,SA,BR,BR-RR,Caracaraí,no,,,SBQI,RR9001,,,SWQI
42242,SWQL,small_airport,Fazenda Três Companheiros Airport,-16.6825008392334,-52.252498626708984,2070,SA,BR,BR-GO,Doverlândia,no,,,SWQL,,,,
343127,SWQO,small_airport,Fazenda Renascença Airstrip,-20.387728,-48.915386,1558,SA,BR,BR-MG,Frutal,no,,,SWQO,MG0422,,,
44565,SWQP,small_airport,Rio Vermelho Açucar e Álcool Airport,-21.315277099609375,-51.369998931884766,1148,SA,BR,BR-SP,Junqueirópolis,no,,,SWQP,,,,
323920,SWQS,small_airport,Fazenda Santa Rosa,-20.941284,-53.436173,1424,SA,BR,BR-MS,Ribas do Rio Pardo,no,,,SWQS,MS0392,,,
38040,SWQT,small_airport,Fazenda São Nicolau Airport,-9.86287,-58.230815,725,SA,BR,BR-MT,Cotriguaçu,no,,,SWQT,MT0383,,,
38041,SWQU,small_airport,Fazenda Guaporé Airport,-14.600982,-60.121808,728,SA,BR,BR-MT,Vila Bela da Santíssima Trindade,no,,,SWQU,MT0384,,,
38043,SWQW,small_airport,Fazenda Bacaeri Airport,-10.051621,-56.832232,1050,SA,BR,BR-MT,Alta Floresta,no,,,SWQW,MT0385,,,
323919,SWQY,small_airport,Fazenda Peturú Airport,-2.684444,-52.3675,384,SA,BR,BR-PA,Porto de Moz,no,,,SWQY,PA0149,,,
37898,SWRA,small_airport,Fazenda Bela Vista Airport,-10.056322,-56.991573,866,SA,BR,BR-MT,Nova Monte Verde,no,SWRA,,SWRA,MT0625,,,SWHJ
38048,SWRC,small_airport,Fazenda Sevilha Airport,-12.626667022705078,-51.934165954589844,951,SA,BR,BR-MT,Ribeirão Cascalheira,no,,,SWRC,,,,
505886,SWRD,small_airport,Chácara Rondoagro Airport,-11.731945,-62.709045,620,SA,BR,BR-MT,Alto Garças,no,SWRD,,SWRD,RO0033,,,
505885,SWRE,small_airport,Fazenda Renovo Airport,-16.770208,-53.526433,2428,SA,BR,BR-MT,Alto Garças,no,,,SWRE,MT0387,,,
38049,SWRF,small_airport,Fazenda Toloza Airport,-13.18464,-57.997274,1644,SA,BR,BR-MT,Brasnorte,no,,,SIAT,MT0626,,,SWRF
38050,SWRG,small_airport,Fazenda Rancho Maria e Tereza Airport,-10.825833320617676,-65.2286148071289,492,SA,BR,BR-RO,Guajará-Mirim,no,,,SWRG,,,,
327791,SWRH,small_airport,Fazenda Aurora Airport,-12.710022,-46.156952,2904,SA,BR,BR-BA,São Desidério,no,,,SWRH,,,,
576,SWRI,small_airport,Fazenda Roncador I Airport,-12.155400276184082,-52.27899932861328,993,SA,BR,BR-MT,Querência,no,,,SWRI,SWRI,,,
38051,SWRJ,small_airport,Fazenda Panflora Airport,-15.084167,-56.552222,757,SA,BR,BR-MT,Rosário Oeste,no,,,SJOP,MT0201,,,SWRJ
28106,SWRK,heliport,Pedreira Pombal Fazenda Recanto Heliport,-22.486884,-44.257678,1492,SA,BR,BR-RJ,Barra Mansa,no,,,SWRK,SWRK,,,
38052,SWRL,small_airport,Fazenda Pouso Redondo Airport,-12.977222442626953,-61.04916763305664,1086,SA,BR,BR-RO,Corumbiara,no,,,SWRL,,,,
